User_ID,Gender,Age,Marital_Status,Website_Activity,Browsed_Electronics_12Mo,Bought_Electronics_12Mo,Bought_Digital_Media_18Mo,Bought_Digital_Books,Payment_Method
50551,M,64,M,Seldom,Yes,Yes,Yes,No,Monthly Billing
36437,F,44,S,Seldom,Yes,No,Yes,No,Monthly Billing
25354,F,40,M,Seldom,Yes,No,Yes,Yes,Bank Transfer
45460,F,52,S,Seldom,Yes,Yes,Yes,No,Credit Card
18272,F,29,M,Seldom,Yes,Yes,Yes,No,Bank Transfer
42885,M,22,M,Seldom,Yes,No,Yes,Yes,Monthly Billing
79050,M,66,M,Regular,Yes,Yes,Yes,No,Bank Transfer
77950,F,30,M,Seldom,Yes,No,Yes,Yes,Bank Transfer
93846,M,45,S,Seldom,Yes,Yes,Yes,No,Bank Transfer
70720,F,45,S,Seldom,Yes,No,Yes,No,Monthly Billing
45100,M,69,S,Regular,Yes,No,No,Yes,Credit Card
58704,M,43,M,Frequent,Yes,Yes,No,Yes,Website Account
10591,F,24,M,Regular,Yes,Yes,Yes,No,Credit Card
81628,M,51,M,Seldom,Yes,Yes,Yes,No,Website Account
37085,M,26,M,Regular,Yes,No,Yes,No,Bank Transfer
43730,M,34,M,Seldom,Yes,Yes,Yes,Yes,Website Account
45512,F,40,S,Regular,Yes,Yes,Yes,Yes,Bank Transfer
98200,F,32,M,Regular,Yes,No,Yes,No,Website Account
31131,F,30,M,Seldom,Yes,No,Yes,No,Monthly Billing
22299,M,58,S,Regular,Yes,Yes,Yes,No,Credit Card
55610,F,56,M,Seldom,Yes,No,Yes,Yes,Website Account
10791,M,42,M,Seldom,Yes,Yes,Yes,No,Website Account
31265,M,22,M,Seldom,Yes,No,Yes,Yes,Monthly Billing
43219,F,46,S,Regular,Yes,Yes,Yes,No,Bank Transfer
76881,M,44,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
88795,M,52,M,Seldom,Yes,No,No,Yes,Credit Card
40012,M,45,M,Regular,Yes,No,No,No,Credit Card
13107,M,58,S,Regular,Yes,Yes,Yes,Yes,Bank Transfer
28029,F,67,M,Frequent,No,Yes,No,Yes,Website Account
19419,F,45,S,Seldom,Yes,No,Yes,No,Monthly Billing
94865,M,50,M,Seldom,Yes,Yes,Yes,Yes,Monthly Billing
35783,M,58,S,Seldom,Yes,No,Yes,No,Website Account
55075,F,45,M,Regular,Yes,Yes,Yes,Yes,Bank Transfer
51964,M,61,S,Regular,No,Yes,Yes,Yes,Bank Transfer
24468,F,50,M,Seldom,Yes,Yes,Yes,No,Bank Transfer
19016,M,33,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
91208,M,32,S,Seldom,Yes,No,Yes,No,Website Account
84566,M,55,M,Seldom,Yes,No,Yes,Yes,Website Account
81945,F,32,M,Frequent,Yes,Yes,No,No,Monthly Billing
89520,M,50,S,Frequent,Yes,No,No,No,Website Account
50695,F,64,S,Seldom,Yes,No,Yes,Yes,Website Account
35169,M,37,M,Seldom,Yes,No,Yes,No,Monthly Billing
58325,M,36,S,Seldom,Yes,No,Yes,Yes,Bank Transfer
61278,M,49,S,Seldom,Yes,No,Yes,Yes,Website Account
93730,M,25,S,Seldom,Yes,No,Yes,No,Bank Transfer
22171,F,34,M,Frequent,Yes,Yes,No,No,Monthly Billing
23677,F,62,M,Frequent,Yes,No,No,No,Monthly Billing
13296,M,49,M,Seldom,Yes,Yes,Yes,Yes,Monthly Billing
13443,M,45,S,Seldom,Yes,Yes,Yes,Yes,Website Account
63959,M,44,M,Regular,Yes,No,No,No,Credit Card
97362,F,43,M,Seldom,Yes,No,Yes,No,Bank Transfer
73187,F,68,M,Frequent,No,Yes,No,Yes,Website Account
69715,F,50,S,Seldom,Yes,Yes,No,Yes,Bank Transfer
38914,M,48,M,Regular,Yes,No,No,No,Credit Card
14202,F,51,M,Seldom,Yes,Yes,Yes,No,Bank Transfer
45102,M,60,S,Seldom,Yes,No,Yes,Yes,Bank Transfer
96393,F,24,S,Seldom,Yes,No,No,No,Credit Card
40897,M,23,M,Regular,Yes,Yes,Yes,Yes,Website Account
23653,F,36,S,Seldom,Yes,No,Yes,No,Bank Transfer
88464,M,46,S,Seldom,Yes,Yes,Yes,Yes,Bank Transfer
